episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference,condition,training_seed
4,10004,1000.0,19.90501241167476,82.0,3.0,9.0,True,0.09859460592269897,8.0,5.0,3.0,3.0,0.0,8.0,-0.10772376060485844,True,0.0,task_only,2202
5,10005,1000.0,19.932545064464648,85.0,1.0,9.0,True,0.03512978553771973,8.0,7.0,0.0,1.0,0.0,8.0,-0.051252889633178755,True,0.0,task_only,2202
6,10006,1000.0,19.495103071196354,33.0,2.0,10.0,True,0.021182477474212646,5.0,3.0,1.0,1.0,1.0,4.0,-0.04691790342330937,True,0.0,task_only,2202
7,10007,1000.0,16.363830793614397,43.0,1.0,8.0,True,0.12738722562789917,9.0,8.0,0.0,0.0,1.0,8.0,0.020094227790832475,True,0.0,task_only,2202
8,10008,1000.0,16.827029074429447,117.0,3.0,6.0,True,0.008731484413146973,6.0,3.0,3.0,3.0,0.0,5.0,-0.10856972932815556,True,0.0,task_only,2202
9,10009,1000.0,24.195245765899017,107.0,1.0,12.0,True,0.05355978012084961,9.0,8.0,0.0,0.0,1.0,8.0,0.049851727485656694,True,0.0,task_only,2202
10,10010,1000.0,17.58189256241303,58.0,2.0,9.0,True,0.020265698432922363,6.0,4.0,1.0,1.0,1.0,5.0,-0.10107688903808598,True,0.0,task_only,2202
11,10011,1000.0,18.730716581548222,58.0,1.0,9.0,True,0.06643563508987427,6.0,5.0,1.0,1.0,0.0,6.0,-0.044779825210571333,True,0.0,task_only,2202
12,10012,1000.0,18.854097723404266,59.0,2.0,9.0,True,0.020183801651000977,7.0,5.0,1.0,1.0,1.0,6.0,-0.10151444673538212,True,0.0,task_only,2202
13,10013,1000.0,21.91746019695347,113.0,3.0,10.0,True,0.01826155185699463,7.0,4.0,2.0,2.0,1.0,6.0,-0.10402016639709477,True,0.0,task_only,2202
14,10014,1000.0,19.605206814998382,91.0,1.0,7.0,True,0.049066007137298584,8.0,7.0,0.0,0.0,1.0,7.0,0.033334326744079545,True,0.0,task_only,2202
15,10015,1000.0,20.105642997225004,37.0,2.0,10.0,True,0.12603914737701416,5.0,3.0,2.0,2.0,0.0,5.0,-0.09274183511734013,True,0.0,task_only,2202
16,10016,1000.0,17.97226023305484,82.0,2.0,8.0,True,0.014331221580505371,8.0,6.0,2.0,2.0,0.0,8.0,-0.058467853069305464,True,0.0,task_only,2202
17,10017,1000.0,19.41469820772727,67.0,4.0,8.0,True,0.11519569158554077,5.0,1.0,3.0,4.0,0.0,5.0,-0.11059569120407109,True,0.0,task_only,2202
18,10018,1000.0,17.57435574342162,31.0,1.0,8.0,True,0.07972079515457153,6.0,5.0,1.0,1.0,0.0,6.0,-0.02373503446578984,True,0.0,task_only,2202
19,10019,1000.0,21.911546963014644,117.0,2.0,12.0,True,0.018679440021514893,7.0,5.0,1.0,1.0,1.0,6.0,-0.11149315834045415,True,0.0,task_only,2202
20,10020,1000.0,18.506333616831853,117.0,3.0,9.0,True,0.025455951690673828,6.0,3.0,2.0,2.0,1.0,5.0,-0.11165516376495366,True,0.0,task_only,2202
21,10021,1000.0,14.05043795043457,59.0,5.0,5.0,True,0.013435721397399902,7.0,2.0,4.0,4.0,1.0,6.0,-0.08829222917556767,True,0.0,task_only,2202
22,10022,1000.0,18.265437575789974,176.0,4.0,8.0,True,0.03974372148513794,7.0,3.0,3.0,3.0,1.0,6.0,-0.10083262920379643,True,0.0,task_only,2202
23,10023,1000.0,21.1928516979915,39.0,0.0,11.0,True,0.05817890167236328,4.0,4.0,0.0,0.0,0.0,4.0,0.046043348312377885,True,0.0,task_only,2202
24,10024,1000.0,20.97356036963174,54.0,2.0,10.0,True,0.08196312189102173,3.0,1.0,2.0,2.0,0.0,3.0,-0.10488419532775883,True,0.0,task_only,2202
25,10025,1000.0,18.93507531027717,55.0,2.0,9.0,True,0.004807591438293457,7.0,5.0,1.0,1.0,1.0,6.0,-0.059719192981720015,True,0.0,task_only,2202
26,10026,1000.0,20.485448388481018,170.0,4.0,10.0,True,0.02084594964981079,8.0,4.0,3.0,4.0,0.0,8.0,-0.11051111221313481,True,0.0,task_only,2202
27,10027,1000.0,19.025083322243518,58.0,3.0,8.0,True,0.035261571407318115,7.0,4.0,2.0,2.0,1.0,6.0,-0.03569858074188237,True,0.0,task_only,2202
28,10028,1000.0,19.262993229190215,161.0,3.0,8.0,True,0.019876956939697266,6.0,3.0,2.0,3.0,0.0,6.0,-0.10095279216766362,True,0.0,task_only,2202
29,10029,1000.0,19.234149608087137,28.0,1.0,9.0,True,0.13008981943130493,8.0,7.0,0.0,0.0,1.0,7.0,0.03931082487106319,True,0.0,task_only,2202
30,10030,1000.0,19.058280936378196,81.0,3.0,9.0,True,0.036665260791778564,5.0,2.0,3.0,3.0,0.0,5.0,-0.11689226627349858,True,0.0,task_only,2202
31,10031,1000.0,18.71948369070242,121.0,5.0,9.0,True,0.010213851928710938,6.0,1.0,4.0,4.0,1.0,5.0,-0.10498719215393071,True,0.0,task_only,2202
32,10032,1000.0,17.017041857496224,88.0,2.0,8.0,True,0.044782161712646484,10.0,8.0,1.0,1.0,1.0,9.0,-0.10645614862442021,True,0.0,task_only,2202
33,10033,1000.0,21.150210204119503,10.0,3.0,12.0,True,0.16794097423553467,6.0,3.0,3.0,3.0,0.0,6.0,-0.08475099802017216,True,0.0,task_only,2202
34,10034,1000.0,19.946263527041083,90.0,3.0,10.0,True,0.011014044284820557,7.0,4.0,2.0,2.0,1.0,6.0,-0.044070291519165083,True,0.0,task_only,2202
35,10035,1000.0,18.660004097757337,114.0,3.0,8.0,True,0.014202296733856201,6.0,3.0,3.0,3.0,0.0,6.0,-0.10609154701232915,True,0.0,task_only,2202
36,10036,1000.0,19.955272061080905,19.0,0.0,9.0,True,0.021573185920715332,7.0,7.0,0.0,0.0,0.0,6.0,0.03576405048370357,True,0.0,task_only,2202
37,10037,1000.0,19.44808658207694,48.0,1.0,9.0,True,0.09173440933227539,8.0,7.0,1.0,1.0,0.0,8.0,-0.10163782835006718,True,0.0,task_only,2202
38,10038,1000.0,19.96984996581523,40.0,1.0,10.0,True,0.07884156703948975,3.0,2.0,1.0,1.0,0.0,3.0,-0.12257461547851567,True,0.0,task_only,2202
39,10039,1000.0,16.328614944422043,96.0,2.0,6.0,True,0.021607697010040283,6.0,4.0,1.0,1.0,1.0,5.0,-0.10281639099121098,True,0.0,task_only,2202
40,10040,1000.0,17.733625870920207,80.0,3.0,9.0,True,0.040272653102874756,5.0,2.0,2.0,2.0,1.0,4.0,-0.11004923582077031,True,0.0,task_only,2202
41,10041,1000.0,19.497230852102803,68.0,1.0,8.0,True,0.025628864765167236,4.0,3.0,1.0,1.0,0.0,4.0,-0.1073537945747376,True,0.0,task_only,2202
42,10042,1000.0,19.358302541132844,0.0,0.0,10.0,True,0.3617187738418579,2.0,2.0,0.0,0.0,0.0,2.0,0.3905394792556762,True,0.0,task_only,2202
43,10043,1000.0,18.67284576293605,57.0,2.0,10.0,True,0.018645107746124268,3.0,1.0,1.0,1.0,1.0,2.0,-0.10625391006469731,True,0.0,task_only,2202
