condition,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
task_only,92,49293,1000,35.766020090843085,0.0,0,13,True,0.21833449602127075,2,2,0,0,0,19,0,0,0,2,0.22001972913742063,True,0.0
task_only,93,49294,1000,35.72366779670119,0.0,0,13,True,0.22240251302719116,3,3,0,0,0,31,0,0,0,3,0.22407272577285764,True,0.0
task_only,94,49295,1000,35.904344820417464,4.0,0,13,True,0.19337493181228638,3,3,0,0,0,31,0,0,0,3,0.20678964376449582,True,0.0
task_only,95,49296,1000,35.74639595497865,6.0,0,13,True,0.18873631954193115,2,2,0,0,0,23,0,0,0,2,0.197005660533905,True,0.0
task_only,96,49297,1000,35.75936186593026,0.0,0,13,True,0.21411412954330444,2,2,0,0,0,17,0,0,0,2,0.21780619144439695,True,0.0
task_only,97,49298,1000,35.84289081650786,2.0,0,13,True,0.1982218623161316,3,3,0,0,0,32,0,0,0,3,0.21123513698577878,True,0.0
task_only,98,49299,1000,34.02526314026909,0.0,0,12,True,0.20480185747146606,2,2,0,0,0,22,0,0,0,2,0.2072382879257202,True,0.0
task_only,99,49300,1000,35.92542495043017,0.0,0,13,True,0.20028072595596313,2,2,0,0,0,20,0,0,0,2,0.20638802766799924,True,0.0
native_safety,0,49201,1000,31.72080630941491,0.0,0,11,True,0.2169991135597229,3,3,0,0,0,31,0,0,0,3,0.3374132227897644,True,0.0
native_safety,1,49202,1000,31.759887684165733,0.0,0,11,True,0.22204184532165527,3,3,0,0,0,29,0,0,0,3,0.33783379316329953,True,0.0
native_safety,2,49203,1000,31.75767600236577,0.0,0,11,True,0.21828621625900269,3,3,0,0,0,29,0,0,0,3,0.3547140073776245,True,0.0
native_safety,3,49204,1000,31.778912504676555,0.0,0,11,True,0.21956992149353027,4,4,0,0,0,35,0,0,0,4,0.3639254283905029,True,0.0
native_safety,4,49205,1000,31.80035253839742,0.0,0,11,True,0.22137075662612915,3,3,0,0,0,30,0,0,0,3,0.33712336540222165,True,0.0
native_safety,5,49206,1000,31.76726647299074,0.0,0,11,True,0.2213956117630005,3,3,0,0,0,29,0,0,0,3,0.33900484561920163,True,0.0
native_safety,6,49207,1000,31.71073366404562,0.0,0,11,True,0.21590584516525269,3,3,0,0,0,27,0,0,0,3,0.3380973649024963,True,0.0
native_safety,7,49208,1000,31.778950059684576,0.0,0,11,True,0.2107817530632019,4,4,0,0,0,38,0,0,0,4,0.3386772584915161,True,0.0
native_safety,8,49209,1000,31.759834654039878,0.0,0,11,True,0.21966469287872314,3,3,0,0,0,29,0,0,0,3,0.33940199136734006,True,0.0
native_safety,9,49210,1000,31.751897086724057,0.0,0,11,True,0.2170414924621582,4,4,0,0,0,36,0,0,0,4,0.33840921640396115,True,0.0
native_safety,10,49211,1000,31.73743445441505,0.0,0,11,True,0.21821004152297974,3,3,0,0,0,30,0,0,0,3,0.33958241462707517,True,0.0
native_safety,11,49212,1000,31.736048070903053,0.0,0,11,True,0.2216593623161316,3,3,0,0,0,26,0,0,0,3,0.3556236338615417,True,0.0
native_safety,12,49213,1000,31.638761244747002,0.0,0,11,True,0.2150478959083557,3,3,0,0,0,30,0,0,0,3,0.3385224056243896,True,0.0
native_safety,13,49214,1000,31.817722603984294,0.0,0,11,True,0.21368390321731567,3,3,0,0,0,27,0,0,0,3,0.33020916700363157,True,0.0
native_safety,14,49215,1000,31.75533861356962,0.0,0,11,True,0.2180042266845703,4,4,0,0,0,39,0,0,0,4,0.33495667695999143,True,0.0
native_safety,15,49216,1000,31.746199581470137,0.0,0,11,True,0.22080856561660767,4,4,0,0,0,34,0,0,0,4,0.35618010282516477,True,0.0
native_safety,16,49217,1000,31.74077687785757,0.0,0,11,True,0.22057825326919556,3,3,0,0,0,30,0,0,0,3,0.33973798274993894,True,0.0
native_safety,17,49218,1000,31.734330374568344,0.0,0,11,True,0.21329516172409058,4,4,0,0,0,36,0,0,0,4,0.3306322407722473,True,0.0
