condition,training_seed,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
task_only,1101,71,10071,1000,26.45789047787639,0.0,0,14,True,0.24394690990447998,2,2,0,0,0,106,0,0,0,2,0.10488868951797481,True,0.0
task_only,1101,72,10072,1000,22.628411162259,77.0,2,10,True,0.03055626153945923,9,7,2,2,0,254,158,0,2,9,-0.10751240253448491,True,0.0
task_only,1101,73,10073,1000,26.174316863471176,71.0,1,13,True,0.03907424211502075,4,3,1,1,0,151,79,0,1,4,-0.020264077186584517,True,0.0
task_only,1101,74,10074,1000,24.797323421742476,48.0,3,12,True,0.013819098472595215,11,8,2,2,1,233,158,9,3,10,-0.03394817113876347,True,0.0
task_only,1101,75,10075,1000,28.379503614040914,27.0,0,15,True,0.0393218994140625,7,7,0,0,0,296,0,0,0,7,0.05093694925308223,True,0.0
task_only,1101,76,10076,1000,24.522772102811814,99.0,1,10,True,0.011262595653533936,8,7,1,1,0,340,79,0,1,7,-0.006428885459899947,True,0.0
task_only,1101,77,10077,1000,27.05981919005444,38.0,0,14,True,0.1064751148223877,10,10,0,0,0,396,0,0,0,9,0.023788702487945512,True,0.0
task_only,1101,78,10078,1000,22.326796792719506,56.0,2,10,True,0.03774726390838623,5,3,2,2,0,156,158,0,2,4,-0.0893186211585999,True,0.0
task_only,1101,79,10079,1000,24.35985646124027,36.0,0,12,True,0.012153267860412598,4,4,0,0,0,151,0,0,0,4,0.11614323854446407,True,0.0
task_only,1101,80,10080,1000,25.10233804466543,62.0,1,11,True,0.006927788257598877,8,7,1,1,0,276,79,0,1,7,-0.11402105093002324,True,0.0
task_only,1101,81,10081,1000,26.412901012581642,44.0,3,14,True,0.07244002819061279,6,3,3,3,0,128,237,0,3,5,-0.11280440092086796,True,0.0
task_only,1101,82,10082,1000,26.195966324205074,77.0,0,12,True,0.026026368141174316,8,8,0,0,0,296,0,0,0,8,0.11486436128616329,True,0.0
task_only,1101,83,10083,1000,23.872507328795564,26.0,1,11,True,0.10493570566177368,12,11,0,0,1,368,0,8,1,11,0.05359716415405269,True,0.0
task_only,1101,84,10084,1000,23.346465050361076,98.0,2,9,True,0.06913894414901733,8,6,2,2,0,273,158,0,2,8,-0.10618631839752202,True,0.0
task_only,1101,85,10085,1000,20.17506802912976,105.0,3,8,True,0.06067979335784912,9,6,2,2,1,280,158,30,3,8,-0.10325144529342656,True,0.0
task_only,1101,86,10086,1000,19.27447568432126,12.0,1,9,True,0.11219984292984009,4,3,1,1,0,171,79,0,1,4,-0.003713595867157027,True,0.0
task_only,1101,87,10087,1000,24.952260203983315,87.0,2,12,True,0.042319536209106445,8,6,1,1,1,281,79,29,2,7,-0.11014436483383183,True,0.0
task_only,1101,88,10088,1000,22.495886253349454,90.0,3,9,True,0.022108376026153564,7,4,2,2,1,174,158,49,3,6,-0.10916178226470952,True,0.0
task_only,1101,89,10089,1000,23.754851721438172,43.0,3,11,True,0.0633804202079773,8,5,3,3,0,148,237,0,3,8,-0.10531567335128789,True,0.0
task_only,1101,90,10090,1000,25.66526340629025,17.0,3,13,True,0.15812355279922485,6,3,3,3,0,180,237,0,3,6,-0.10491513013839726,True,0.0
task_only,1101,91,10091,1000,24.757962260964632,0.0,0,13,True,0.216605544090271,5,5,0,0,0,134,0,0,0,4,0.1449791312217712,True,0.0
task_only,1101,92,10092,1000,24.84365392662039,68.0,2,11,True,0.028045177459716797,9,7,1,1,1,277,79,20,2,8,-0.028787958621978804,True,0.0
task_only,1101,93,10093,1000,23.70623148620507,29.0,0,11,True,0.05171012878417969,5,5,0,0,0,236,0,0,0,5,0.05110896825790401,True,0.0
task_only,1101,94,10094,1000,27.673942489011097,11.0,0,15,True,0.11502689123153687,3,3,0,0,0,128,0,0,0,3,0.06552745103836055,True,0.0
task_only,1101,95,10095,1000,25.53127514873995,60.0,2,12,True,0.06617385149002075,7,5,1,1,1,237,79,32,2,6,-0.003082203865051314,True,0.0
task_only,1101,96,10096,1000,23.385635176524374,62.0,1,12,True,0.006838023662567139,7,6,1,1,0,236,79,0,1,6,-0.0824097871780396,True,0.0
task_only,1101,97,10097,1000,23.015691928772867,27.0,0,11,True,0.062188804149627686,7,7,0,0,0,251,0,0,0,7,0.16682053804397579,True,0.0
task_only,1101,98,10098,1000,24.530587829078286,69.0,1,12,True,0.00862044095993042,7,6,1,1,0,287,79,0,1,7,-0.032837200164794966,True,0.0
task_only,1101,99,10099,1000,25.793605071638012,79.0,3,12,True,0.04953378438949585,9,6,3,3,0,231,237,0,3,8,-0.11676441431045537,True,0.0
task_only,2202,0,10000,1000,18.3142503218578,20.0,1,8,True,0.11014652252197266,8,7,0,0,1,341,0,16,1,7,0.07022900581359859,True,0.0
task_only,2202,1,10001,1000,17.589651704131484,58.0,2,8,True,0.09030032157897949,4,2,2,2,0,121,158,0,2,4,-0.03933315277099614,True,0.0
task_only,2202,2,10002,1000,18.68811957331127,100.0,4,9,True,0.02829355001449585,4,0,3,3,1,0,237,64,4,3,-0.11466174125671391,True,0.0
task_only,2202,3,10003,1000,21.145793276318727,125.0,3,10,True,0.027448832988739014,4,1,2,2,1,50,158,74,3,3,-0.08793656826019292,True,0.0
task_only,2202,4,10004,1000,19.90501241167476,82.0,3,9,True,0.09859460592269897,8,5,3,3,0,252,237,0,3,8,-0.10772376060485844,True,0.0
task_only,2202,5,10005,1000,19.932545064464648,85.0,1,9,True,0.03512978553771973,8,7,0,1,0,376,79,0,1,8,-0.051252889633178755,True,0.0
task_only,2202,6,10006,1000,19.495103071196354,33.0,2,10,True,0.021182477474212646,5,3,1,1,1,105,79,8,2,4,-0.04691790342330937,True,0.0
task_only,2202,7,10007,1000,16.363830793614397,43.0,1,8,True,0.12738722562789917,9,8,0,0,1,393,0,58,1,8,0.020094227790832475,True,0.0
